       x          cc(x)       b(x)      betac(x)      zc(x)      sig(x)                  t          xc(t)       bx(t)     betax(t)
  1           0           0.94956     0.26552     0           0.60915               0           1           0           0         
  1.0166      0.19191     0.95122     0.26604     0           0.61192               0.0003082   1.0166      0.0072344   0.000059078
  1.0359      0.19185     0.95317     0.26665     0           0.6152                0.00068777  1.0359      0.015669    0.00012792
  1.0585      0.19178     0.95542     0.26736     0           0.619                 0.0011307   1.0585      0.025503    0.0002083 
  1.0848      0.1917      0.95803     0.26818     0           0.62339               0.0016475   1.0848      0.036968    0.00030195
  1.1154      0.19161     0.96102     0.26913     0           0.62846               0.0022507   1.1154      0.050335    0.00041112
  1.1512      0.1915      0.96447     0.27023     0           0.63431               0.0029548   1.1512      0.06592     0.00053832
  1.1929      0.19138     0.96843     0.27149     0           0.64106               0.0037768   1.1929      0.08409     0.00068672
  1.2414      0.19123     0.97297     0.27295     0           0.64882               0.0047368   1.2414      0.10527     0.00085959
  1.2981      0.19107     0.97814     0.27463     0           0.65772               0.005858    1.2981      0.12997     0.0010611 
  1.3641      0.19088     0.98403     0.27655     0           0.66793               0.007168    1.3641      0.15877     0.0012967 
  1.4411      0.19065     0.99074     0.27876     0           0.67963               0.0086991   1.4411      0.19234     0.0015706 
  1.5309      0.1904      0.99851     0.28135     0           0.69311               0.010489    1.5309      0.23149     0.0018904 
  1.6355      0.19011     1.0077      0.28442     0           0.70875               0.012585    1.6355      0.27712     0.0022629 
  1.7576      0.18977     1.0181      0.28794     0           0.72658               0.01504     1.7576      0.33033     0.0026979 
  1.8998      0.18939     1.0298      0.29197     0           0.74686               0.017918    1.8998      0.39236     0.0032043 
  2.0657      0.18895     1.0429      0.2966      0           0.7699                0.021295    2.0657      0.46469     0.0037952 
  2.2591      0.18845     1.0576      0.30191     0           0.79606               0.025261    2.2591      0.54901     0.0044826 
  2.4846      0.18789     1.0741      0.30801     0           0.82572               0.029925    2.4846      0.64733     0.0052855 
  2.7474      0.18725     1.0925      0.31505     0           0.85934               0.035413    2.7474      0.76195     0.0062231 
  3.0539      0.18653     1.113       0.32319     0           0.89744               0.041881    3.0539      0.89559     0.0073137 
  3.4113      0.18572     1.1375      0.33316     0           0.94018               0.049516    3.4113      1.0514      0.0085849 
  3.8279      0.18481     1.165       0.34482     0           0.98861               0.058552    3.8279      1.233       0.010071  
  4.3136      0.1838      1.1958      0.35855     0           1.0435                0.069266    4.3136      1.4448      0.011797  
  4.8799      0.18269     1.2303      0.37481     0           1.1058                0.082       4.8799      1.6918      0.013818  
  5.5401      0.18146     1.2691      0.39423     0           1.1766                0.097171    5.5401      1.9797      0.016166  
  6.3099      0.18011     1.3128      0.4176      0           1.2571                0.1153      6.3099      2.3153      0.018904  
  7.2074      0.17863     1.3623      0.44597     0           1.3488                0.13705     7.2074      2.7066      0.022107  
  8.2537      0.17704     1.4186      0.48068     0           1.4534                0.16322     8.2537      3.1629      0.025829  
  9.4737      0.17532     1.4847      0.52405     0           1.5716                0.19486     9.4737      3.6948      0.030172  
  10.896      0.17347     1.5645      0.57924     0           1.7041                0.23334     10.896      4.315       0.035234  
  12.554      0.17148     1.6578      0.64843     0           1.8551                0.28043     12.554      5.0381      0.041145  
  14.488      0.16934     1.7676      0.73574     0           2.0266                0.33843     14.488      5.8811      0.048033  
  16.742      0.16702     1.8982      0.84659     0           2.2205                0.41043     16.742      6.864       0.056056  
  19.37       0.1645      2.0549      0.98815     0           2.4383                0.50053     19.37       8.0099      0.065406  
  22.434      0.16174     2.2445      1.1699      0           2.6801                0.61432     22.434      9.346       0.076312  
  26.006      0.15867     2.4762      1.4045      0           2.9448                0.75933     26.006      10.904      0.089056  
  30.171      0.15523     2.762       1.7088      0           3.2288                0.94582     30.171      12.72       0.10387   
  35.027      0.15134     3.1177      2.1056      0           3.5259                1.1878      35.027      14.837      0.12116   
  40.689      0.14695     3.5646      2.6257      0           3.8272                1.5043      40.689      17.306      0.14136   
  47.29       0.142       4.1487      3.3245      0           4.1097                1.9216      47.29       20.184      0.16487   
  54.985      0.13645     4.8938      4.249       0           4.3771                2.4751      54.985      23.54       0.19219   
  63.958      0.13032     5.8524      5.478       0           4.6193                3.2131      63.958      27.452      0.22421   
  74.419      0.12369     7.0957      7.1192      0           4.8288                4.2008      74.419      32.013      0.26136   
  86.615      0.11663     8.72        9.3202      0           5.0009                5.5269      86.615      37.331      0.30488   
  100.84      0.10926     10.856      12.282      0           5.1354                7.3118      100.84      43.532      0.35542   
  117.41      0.10168     13.68       16.279      0           5.2361                9.7205      117.41      50.761      0.41452   
  136.74      0.094018    17.43       21.685      0           5.3097                12.979      136.74      59.189      0.48335   
  159.28      0.086379    22.433      29.007      0           5.3651                17.402      159.28      69.015      0.56365   
  185.55      0.078864    29.132      38.937      0           5.4128                23.424      185.55      80.472      0.65714   
  216.19      0.071432    38.145      52.471      0           5.6425                31.644      216.19      93.829      0.76618   
  251.9       0.063872    49.987      70.601      0           6.0336                42.862      251.9       109.4       0.8933    
  289.19      0.053874    63.242      91.306      0           4.3888                44.172      289.19      151.6       16.049    
  323.27      0.042582    75.557      110.87      0           3.924                 52.405      323.27      190.47      28.083    
  354.92      0.033559    86.508      128.45      0           3.8213                62.003      354.92      224.56      40.397    
  385.78      0.026944    96.391      144.4       0           3.8449                73.195      385.78      254.84      53.122    
  417.22      0.022027    105.55      159.22      0           3.9304                86.243      417.22      282.36      66.404    
  450.38      0.01824     114.22      173.29      0           4.0611                101.45      450.38      307.91      80.4      
  486.26      0.015225    122.59      186.88      0           4.2346                119.19      486.26      331.98      95.263    
